
time,ax,ay,az,wx,wy,wz,
0.63,6.12,-2.15,-5.50,-1.10,-3.17,0.08,
0.631,5.67,-1.84,-5.77,-1.10,-3.17,0.08,
0.631,5.67,-1.84,-5.77,-1.10,-3.17,0.08,
0.638,5.67,-1.84,-5.77,-1.16,-3.61,0.04,
0.639,5.67,-1.84,-5.77,-1.16,-3.61,0.04,
0.639,4.95,-1.75,-5.72,-1.16,-3.61,0.04,
0.64,4.95,-1.75,-5.72,-1.16,-3.61,0.04,
0.649,4.95,-1.75,-5.72,-0.95,-4.13,-0.16,
0.649,4.95,-1.75,-5.72,-0.95,-4.13,-0.16,
0.65,4.34,-2.05,-5.25,-0.95,-4.13,-0.16,
0.651,4.34,-2.05,-5.25,-0.95,-4.13,-0.16,
0.658,4.34,-2.05,-5.25,-0.55,-4.49,-0.36,
0.659,4.34,-2.05,-5.25,-0.55,-4.49,-0.36,
0.659,4.19,-2.63,-3.50,-0.55,-4.49,-0.36,
0.66,4.19,-2.63,-3.50,-0.55,-4.49,-0.36,
0.667,4.19,-2.63,-3.50,-0.09,-4.46,-0.35,
0.668,4.19,-2.63,-3.50,-0.09,-4.46,-0.35,
0.669,5.79,-4.08,-3.14,-0.09,-4.46,-0.35,
0.669,5.79,-4.08,-3.14,-0.09,-4.46,-0.35,
0.678,5.79,-4.08,-3.14,0.31,-4.03,-0.00,
0.679,5.79,-4.08,-3.14,0.31,-4.03,-0.00,
0.68,5.82,-4.46,-3.08,0.31,-4.03,-0.00,
0.68,5.82,-4.46,-3.08,0.31,-4.03,-0.00,
0.687,5.82,-4.46,-3.08,0.49,-3.43,0.60,
0.688,5.82,-4.46,-3.08,0.49,-3.43,0.60,
0.688,5.49,-5.00,-3.27,0.49,-3.43,0.60,
0.688,5.49,-5.00,-3.27,0.49,-3.43,0.60,
0.696,5.49,-5.00,-3.27,0.40,-2.90,1.29,
0.697,5.49,-5.00,-3.27,0.40,-2.90,1.29,
0.697,3.30,-6.44,-3.52,0.40,-2.90,1.29,
0.698,3.30,-6.44,-3.52,0.40,-2.90,1.29,
0.705,3.30,-6.44,-3.52,0.12,-2.48,1.96,
0.706,3.30,-6.44,-3.52,0.12,-2.48,1.96,
0.711,2.67,-6.72,-3.42,0.12,-2.48,1.96,
0.712,2.67,-6.72,-3.42,0.12,-2.48,1.96,
0.715,2.67,-6.72,-3.42,-0.24,-2.06,2.64,
0.716,2.67,-6.72,-3.42,-0.24,-2.06,2.64,
0.716,2.04,-6.97,-2.83,-0.24,-2.06,2.64,
0.717,2.04,-6.97,-2.83,-0.24,-2.06,2.64,
0.725,2.04,-6.97,-2.83,-0.60,-1.53,3.36,
0.726,2.04,-6.97,-2.83,-0.60,-1.53,3.36,
0.727,1.84,-7.09,-1.21,-0.60,-1.53,3.36,
0.728,1.84,-7.09,-1.21,-0.60,-1.53,3.36,
0.736,1.84,-7.09,-1.21,-0.87,-0.92,4.05,
0.736,1.84,-7.09,-1.21,-0.87,-0.92,4.05,
0.737,2.07,-7.17,-1.02,-0.87,-0.92,4.05,
0.737,2.07,-7.17,-1.02,-0.87,-0.92,4.05,
0.745,2.07,-7.17,-1.02,-0.98,-0.29,4.60,
0.746,2.07,-7.17,-1.02,-0.98,-0.29,4.60,
0.747,2.44,-7.29,-0.96,-0.98,-0.29,4.60,
0.747,2.44,-7.29,-0.96,-0.98,-0.29,4.60,
0.754,2.44,-7.29,-0.96,-0.98,-0.29,4.60,
0.755,2.44,-7.29,-0.96,-0.98,-0.29,4.60,
0.755,2.44,-7.29,-0.96,-0.98,-0.29,4.60,
0.755,2.44,-7.29,-0.96,-0.98,-0.29,4.60,
0.762,2.44,-7.29,-0.96,-0.91,0.22,4.90,
0.763,2.44,-7.29,-0.96,-0.91,0.22,4.90,
0.763,3.46,-7.65,-1.17,-0.91,0.22,4.90,
0.764,3.46,-7.65,-1.17,-0.91,0.22,4.90,
0.773,3.46,-7.65,-1.17,-0.75,0.47,4.97,
0.774,3.46,-7.65,-1.17,-0.75,0.47,4.97,
0.774,4.99,-7.61,-1.21,-0.75,0.47,4.97,
