
time,ax,ay,az,wx,wy,wz,
0.493,0.45,-0.39,-2.49,0.84,-0.02,0.50,
0.501,0.45,-0.39,-2.49,0.95,-0.03,0.57,
0.502,0.45,-0.39,-2.49,0.95,-0.03,0.57,
0.503,0.41,-0.90,-2.38,0.95,-0.03,0.57,
0.503,0.41,-0.90,-2.38,0.95,-0.03,0.57,
0.511,0.41,-0.90,-2.38,0.95,-0.04,0.61,
0.512,0.41,-0.90,-2.38,0.95,-0.04,0.61,
0.512,0.54,-1.33,-2.16,0.95,-0.04,0.61,
0.513,0.54,-1.33,-2.16,0.95,-0.04,0.61,
0.521,0.54,-1.33,-2.16,0.79,-0.06,0.58,
0.522,0.54,-1.33,-2.16,0.79,-0.06,0.58,
0.522,0.91,-1.58,-1.89,0.79,-0.06,0.58,
0.523,0.91,-1.58,-1.89,0.79,-0.06,0.58,
0.53,0.91,-1.58,-1.89,0.79,-0.06,0.58,
0.531,0.91,-1.58,-1.89,0.79,-0.06,0.58,
0.531,0.91,-1.58,-1.89,0.79,-0.06,0.58,
0.532,0.91,-1.58,-1.89,0.79,-0.06,0.58,
0.54,0.91,-1.58,-1.89,0.48,-0.13,0.49,
0.542,0.91,-1.58,-1.89,0.48,-0.13,0.49,
0.543,4.04,-1.83,-1.43,0.48,-0.13,0.49,
0.543,4.04,-1.83,-1.43,0.48,-0.13,0.49,
0.55,4.04,-1.83,-1.43,0.40,-0.39,0.37,
0.551,4.04,-1.83,-1.43,0.40,-0.39,0.37,
0.551,5.75,-1.87,-1.13,0.40,-0.39,0.37,
0.551,5.75,-1.87,-1.13,0.40,-0.39,0.37,
0.559,5.75,-1.87,-1.13,0.19,-1.13,0.25,
0.56,5.75,-1.87,-1.13,0.19,-1.13,0.25,
0.56,7.64,-1.85,-0.77,0.19,-1.13,0.25,
0.56,7.64,-1.85,-0.77,0.19,-1.13,0.25,
0.568,7.64,-1.85,-0.77,-0.44,-2.47,0.11,
0.569,7.64,-1.85,-0.77,-0.44,-2.47,0.11,
0.57,9.38,-1.69,-0.33,-0.44,-2.47,0.11,
0.57,9.38,-1.69,-0.33,-0.44,-2.47,0.11,
0.578,9.38,-1.69,-0.33,-1.10,-4.23,-0.11,
0.578,9.38,-1.69,-0.33,-1.10,-4.23,-0.11,
0.579,9.70,-1.46,0.21,-1.10,-4.23,-0.11,
0.58,9.70,-1.46,0.21,-1.10,-4.23,-0.11,
0.587,9.70,-1.46,0.21,-1.77,-5.96,-0.42,
0.588,9.70,-1.46,0.21,-1.77,-5.96,-0.42,
0.589,10.01,-1.21,1.89,-1.77,-5.96,-0.42,
0.59,10.01,-1.21,1.89,-1.77,-5.96,-0.42,
0.597,10.01,-1.21,1.89,-2.37,-7.16,-0.71,
0.597,10.01,-1.21,1.89,-2.37,-7.16,-0.71,
0.598,9.90,-1.08,2.14,-2.37,-7.16,-0.71,
0.599,9.90,-1.08,2.14,-2.37,-7.16,-0.71,
0.606,9.90,-1.08,2.14,-2.76,-7.56,-0.85,
0.607,9.90,-1.08,2.14,-2.76,-7.56,-0.85,
0.608,9.39,-1.12,2.51,-2.76,-7.56,-0.85,
0.608,9.39,-1.12,2.51,-2.76,-7.56,-0.85,
0.62,9.39,-1.12,2.51,-2.84,-7.23,-0.77,
0.621,9.39,-1.12,2.51,-2.84,-7.23,-0.77,
0.622,7.94,-1.38,2.73,-2.84,-7.23,-0.77,
0.622,7.94,-1.38,2.73,-2.84,-7.23,-0.77,
0.638,7.94,-1.38,2.73,-2.64,-6.40,-0.61,
0.639,7.94,-1.38,2.73,-2.64,-6.40,-0.61,
0.639,7.63,-1.83,2.62,-2.64,-6.40,-0.61,
0.64,7.63,-1.83,2.62,-2.64,-6.40,-0.61,
0.64,7.63,-1.83,2.62,-2.26,-5.31,-0.31,
0.64,7.63,-1.83,2.62,-2.26,-5.31,-0.31,
0.641,7.44,-2.40,2.21,-2.26,-5.31,-0.31,
0.641,7.44,-2.40,2.21,-2.26,-5.31,-0.31,
0.644,7.44,-2.40,2.21,-1.84,-4.16,0.14,
