time,ax,ay,az,wx,wy,wz
5.74,2.45,2.15,-1.42,0.09,-0.24,-1.71
5.752,2.45,2.15,-1.42,-0.08,-0.21,-1.79
5.753,2.45,2.15,-1.42,-0.08,-0.21,-1.79
5.753,2.11,2.49,-1.18,-0.08,-0.21,-1.79
5.753,2.11,2.49,-1.18,-0.08,-0.21,-1.79
5.758,2.11,2.49,-1.18,-0.21,-0.17,-1.74
5.759,2.11,2.49,-1.18,-0.21,-0.17,-1.74
5.759,1.79,2.78,-0.98,-0.21,-0.17,-1.74
5.759,1.79,2.78,-0.98,-0.21,-0.17,-1.74
5.768,1.79,2.78,-0.98,-0.25,-0.14,-1.57
5.769,1.79,2.78,-0.98,-0.25,-0.14,-1.57
5.77,1.62,3,-0.83,-0.25,-0.14,-1.57
5.77,1.62,3,-0.83,-0.25,-0.14,-1.57
5.777,1.62,3,-0.83,-0.24,-0.11,-1.29
5.778,1.62,3,-0.83,-0.24,-0.11,-1.29
5.778,1.65,3.09,-0.91,-0.24,-0.11,-1.29
5.779,1.65,3.09,-0.91,-0.24,-0.11,-1.29
5.786,1.65,3.09,-0.91,-0.18,-0.09,-0.96
5.788,1.65,3.09,-0.91,-0.18,-0.09,-0.96
5.788,1.82,3.06,-1.3,-0.18,-0.09,-0.96
5.789,1.82,3.06,-1.3,-0.18,-0.09,-0.96
5.796,1.82,3.06,-1.3,-0.16,-0.04,-0.66
5.797,1.82,3.06,-1.3,-0.16,-0.04,-0.66
5.798,2.16,2.91,-2.95,-0.16,-0.04,-0.66
5.798,2.16,2.91,-2.95,-0.16,-0.04,-0.66
5.805,2.16,2.91,-2.95,-0.29,0.12,-0.44
5.806,2.16,2.91,-2.95,-0.29,0.12,-0.44
5.807,2.56,2.61,-4.58,-0.29,0.12,-0.44
5.807,2.56,2.61,-4.58,-0.29,0.12,-0.44
5.816,2.56,2.61,-4.58,-0.75,0.52,-0.34
5.816,2.56,2.61,-4.58,-0.75,0.52,-0.34
5.817,2.94,2.12,-6.41,-0.75,0.52,-0.34
5.817,2.94,2.12,-6.41,-0.75,0.52,-0.34
5.824,2.94,2.12,-6.41,-1.7,1.28,-0.32
